Session ID,Turn,Question,Expected Chunk ID,Actual Chunk ID,Expected Answer,Found,Actual Answer,Result,Comments,Reasons for Failure
1,1,สอบถามหน่อยครับ ต้นเดือนหน้าผมจะเริ่มว่างงาน ถ้าผมต้องการเงินชดเชยกรณีว่างงานต้องทำยังไงครับ,13,"13,1,17,27,28,44,37,45,36,43,8,40","ได้เลยครับ เบื้องต้นผมของสอบถามข้อมูลเพิ่มเติม ดังนี้
1. คุณเป็นผู้ประกันตนที่ส่งเงินสมทบครบ 6 เดือน ภายใน 15 เดือนก่อนการว่างงานหรือไม่
2. คุณอยู่ในกรณีใด
     - ถูกเลิกจ้าง
     - ลาออกหรือสิ้นสุดสัญญาจ้างที่มีกำหนดระยะเวลาการจ้างไว้แน่นอน
     - ทำงานไม่ได้จากเหตุสุดวิสัย เช่น เหตุเกิดจากภัยธรรมชาติที่ทำให้นายจ้างไม่สามารถประกอบกิจการได้ตามปกติ",True,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

กรณีว่างงาน ผู้ประกันตนต้องส่งเงินสมทบมาแล้ว 6 เดือน ภายใน 15 เดือนก่อนการว่างงานค่ะ

หากถูกเลิกจ้าง จะได้รับเงินทดแทนการขาดรายได้ร้อยละ 50 ของค่าจ้าง ครั้งละไม่เกิน 180 วันค่ะ

หากลาออกหรือสิ้นสุดสัญญาจ้าง จะได้รับเงินทดแทนการขาดรายได้ร้อยละ 30 ของค่าจ้าง ครั้งละไม่เกิน 90 วันค่ะ

ทั้งนี้ ผู้ประกันตนต้องขึ้นทะเบียนผู้ว่างงานและรายงานตัวทางอินเทอร์เน็ตที่เว็บไซต์ www.empui.doe.go.th ภายใน 30 วัน นับแต่วันที่ถูกเลิกจ้างหรือลาออก หรือสิ้นสุดสัญญาจ้าง เพื่อไม่ให้เสียสิทธิในการรับเงินทดแทนการขาดรายได้กรณีว่างงานค่ะ

ไม่ทราบว่าสนใจรายละเอียดตรงไหนเพิ่มเติมไหมคะ?",True,"Retrieval includes the expected chunk. The answer correctly outlines eligibility, benefit rates, and the registration steps; while it doesn’t follow the expected probing-questions format, the content is accurate and helpful.",
1,2,"1. ใช่ครับ
2.ลาออกเองครับ",13,"20,15,13,21,1,16,17,4,0,24,37,5","หากคุณเป็นผู้ประกันตนที่ส่งเงินสมทบครบ 6 เดือน ภายใน 15 เดือนก่อนการว่างงาน และอยู่ในกรณีที่ 2 คือลาออก คุณจะได้รับเงินทดแทน โดยมีรายละเอียด ดังนี้
- ได้รับเงินทดแทนการขาดรายได้ในระหว่างการว่างงานร้อยละ 30 ของค่าจ้าง ครั้งละไม่เกิน 90 วัน
- หากใน 1 ปีปฏิทิน มีการยื่นขอรับเงินทดแทนการขาดรายได้
ในระหว่างการว่างงาน ให้นับระยะเวลาการรับเงินทดแทนการขาดรายได้ในระหว่างการว่างงาน รวมกันไม่เกิน 180 วัน
- หากใน 1 ปีปฏิทิน มีการยื่นขอรับเงินทดแทนการขาดรายได้
ในระหว่างการว่างงาน เกิน 1 ครั้ง ให้นับระยะเวลาการรับเงินทดแทนการขาดรายได้ในระหว่างการว่างงาน รวมกันไม่เกิน 90 วัน

โดยผู้ประกันตนต้องขึ้นทะเบียนผู้ว่างงานและรายงานตัว
ทางระบบอินเตอร์เน็ต (เว็บไซต์ www.empui.doe.go.th) ภายใน
30 วัน นับแต่วันที่ถูกเลิกจ้างหรือลาออก หรือสิ้นสุดสัญญาจ้างฯ
เพื่อมิให้เสียสิทธิในการรับเงินทดแทนการขาดรายได้กรณีว่างงาน",True,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

กรณีลาออกเอง ผู้ประกันตนต้องส่งเงินสมทบมาแล้ว 6 เดือน ภายใน 15 เดือนก่อนการลาออกค่ะ

จะได้รับเงินทดแทนการขาดรายได้ในระหว่างการว่างงาน ร้อยละ 30 ของค่าจ้าง ครั้งละไม่เกิน 90 วันค่ะ

ผู้ประกันตนต้องขึ้นทะเบียนผู้ว่างงานและรายงานตัวทางอินเทอร์เน็ตที่เว็บไซต์ www.empui.doe.go.th ภายใน 30 วัน นับแต่วันที่ลาออก เพื่อไม่ให้เสียสิทธิในการรับเงินทดแทนการขาดรายได้กรณีว่างงานค่ะ

ไม่ทราบว่าสนใจรายละเอียดตรงไหนเพิ่มเติมไหมคะ?",True,"Retrieval includes the expected chunk 13, so acceptable. The answer correctly states eligibility (6 of 15 months), benefit level (30% up to 90 days), and registration requirement within 30 days. Minor omission of the calendar-year cumulative limit details, but overall content is accurate for the resignation case.",
2,1,ถ้าต้องการยื่นขึ้นทะเบียนประกันสังคมต้องใช้เอกสารอะไรบ้าง,1,"17,1,0,24,44,25,21,23,46,20,49,15","หลักฐานประจำตัวผู้ประกันตน มีดังนี้
1. สำหรับผู้ประกันตนที่เป็นคนไทยจะใช้บัตรประจำตัวประชาชนแทนบัตรประกันสังคม
2. ผู้ประกันตนที่เป็นคนต่างด้าวที่ทำงานโดยมีใบอนุญาตทำงานจะได้รับบัตรประกันสังคม เพื่อใช้ติดต่อกับสำนักงานประกันสังคม
3. ผู้ประกันตนที่เป็นคนต่างด้าวที่มีบัตรประจำตัวที่กรมการปกครองออกให้ หรือผู้ประกันตนต่างด้าวที่มีใบสำคัญประจำตัวคนต่างด้าวให้ใช้เอกสารดังกล่าวแทนบัตรประกันสังคม เพื่อใช้ติดต่อกับสำนักงานประกันสังคม",True,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

สำหรับการขึ้นทะเบียนผู้ประกันตน จะมีเอกสารที่ต้องใช้แตกต่างกันไปตามมาตราที่สมัครนะคะ

**กรณีเป็นนายจ้างที่ต้องขึ้นทะเบียนนายจ้างและลูกจ้าง:**
*   นายจ้างที่มีลูกจ้างตั้งแต่ 1 คนขึ้นไป ต้องขึ้นทะเบียนนายจ้างพร้อมกับขึ้นทะเบียนลูกจ้างที่เป็นผู้ประกันตนภายใน 30 วัน นับตั้งแต่มีลูกจ้าง 1 คนขึ้นไป
*   เมื่อรับลูกจ้างใหม่เพิ่มขึ้น ต้องแจ้งขึ้นทะเบียนลูกจ้างใหม่ภายใน 30 วัน นับแต่วันที่ลูกจ้างเข้าทำงาน

**หลักฐานประจำตัวผู้ประกันตน:**
*   **ผู้ประกันตนที่เป็นคนไทย:** ใช้บัตรประจำตัวประชาชน
*   **ผู้ประกันตนที่เป็นคนต่างด้าว:**
    *   ที่ทำงานโดยมีใบอนุญาตทำงาน จะได้รับบัตรประกันสังคม
    *   ที่มีบัตรประจำตัวที่กรมการปกครองออกให้ หรือใบสำคัญประจำตัวคนต่างด้าว ให้ใช้เอกสารดังกล่าวแทนบัตรประกันสังคม

ไม่ทราบว่าคุณสนใจรายละเอียดการขึ้นทะเบียนสำหรับมาตราใดเป็นพิเศษไหมคะ หรือต้องการสอบถามข้อมูลส่วนอื่นเพิ่มเติมไหมคะ",True,"Retrieval is acceptable as it includes the expected chunk despite extra ones. The answer correctly lists the required identity documents for insured persons, matching the expected content, with some additional (non-harmful) context about registration timelines.",
2,2,แล้วต้องไปยื่นขึ้นทะเบียนที่ไหน,1,"23,1,0,49,44,14,19,25,17,24,21,46","- กรณีนายจ้าง ที่มีสำนักงานใหญ่ตั้งอยู่ในเขตกรุงเทพมหานครให้ยื่นแบบได้ที่สำนักงานประกันสังคมกรุงเทพมหานครพื้นที่นที่สถานประกอบการตั้งอยู่
- กรณีนายจ้าง ที่มีสำนักงานใหญ่ในส่วนภูมิภาคให้ยื่นแบบขึ้นทะเบียนได้ที่สำนักงานประกันสังคมจังหวัดที่สถานประกอบการตั้งอยู่

***นายจ้างสามารถทำธุรกรรมผ่านทางอินเตอร์เน็ตได้ที่ www.sso.go.th***",True,"การขึ้นทะเบียนผู้ประกันตน สามารถยื่นได้ที่สำนักงานประกันสังคมกรุงเทพมหานครพื้นที่ หรือสำนักงานประกันสังคมจังหวัดที่สถานประกอบการตั้งอยู่ค่ะ

นอกจากนี้ นายจ้างยังสามารถทำธุรกรรมผ่านทางอินเทอร์เน็ตได้ที่ www.sso.go.th ด้วยนะคะ

ไม่ทราบว่าต้องการสอบถามข้อมูลส่วนอื่นเพิ่มเติมไหมคะ",True,"Mostly correct and aligned. Retrieval includes the expected chunk, and the answer conveys the correct offices and online option; minor wording difference (doesn’t explicitly mention HQ condition) but meaning is preserved.",
2,3,ต้องไปยื่นภายในกี่วัน,1,"44,49,21,13,16,17,1,6,46,20,28,7",เมื่อมีการรับลูกจ้างใหม่เพิ่มขึ้นต้องแจ้งขึ้นทะเบียนลูกจ้างใหม่ภายใน 30 วัน นับแต่ลูกจ้างเข้าทำงานครับ,True,"การยื่นขึ้นทะเบียนผู้ประกันตน จะต้องดำเนินการภายใน 30 วัน นับตั้งแต่มีลูกจ้าง 1 คนขึ้นไปค่ะ

หากมีข้อสงสัยเพิ่มเติม สอบถามได้เลยนะคะ",True,"Answer matches the key requirement (30 days) and context of registering employees/insured persons; wording differs slightly but is acceptable. Retrieval includes the expected chunk, though with extra irrelevant ones.",
3,1,ผมไข้ขึ้นที่ต่างจังหวัด ไปรพ.ที่ลงทะเบียนไว้ไม่ได้ ถ้าผมไปเข้า รพ.เอกชน ในต่างจังหวัด จะเบิกได้ไหม,2,"43,4,3,2,8,1,6,7,46,22,27,25","คุณสามารถเบิกค่ารักษากับสำนักงานประกันสังคมได้ครับ หากคุณเป็นผู้ประกันตนที่ส่งเงินสมทบครบ 3 เดือน ภายใน 15 เดือนก่อนเดือนที่เจ็บป่วย โดยกรณีการประสบเจ็บป่วยฉุกเฉิน ไม่สามารถเข้ารับบริการ ณ สถานพยาบาลที่กำหนดสิทธิได้ เมื่อเข้ารับการบริการทางการแพทย์ ณ สถานพยาบาลอื่น ซึ่งหากคุณต้องการเข้ารักษาใน รพ.เอกชน สำนักงานประกันสังคมจ่ายค่าบริการทางการแพทย์ให้แก่ผู้ประกันตนหรือสถานพยาบาล ดังนี้
1. ผู้ป่วยนอก
: ให้ได้รับค่าบริการทางการแพทย์ตามจำนวนเท่าที่จ่ายจริงไม่เกิน 1,000 บาท
2. ผู้ป่วยใน
: ให้ได้รับค่าบริการทางการแพทย์เฉพาะค่าใช้จ่ายที่เกิดขึ้นจริงตามความจำเป็น ภายในระยะเวลาไม่เกิน 72 ชั่วโมงแรก โดยไม่รวมวันหยุดราชการ ตามหลักเกณฑ์และจำนวนเงินทดแทนค่าบริการทางการแพทย์กรณีประสบอันตรายหรือเจ็บป่วยฉุกเฉิน ดังนี้
- ค่ารักษาพยาบาลแต่ไม่เกินวันละ 2,000 บาท
- ค่าห้องและค่าอาหาร ตามจำนวนเท่าที่จ่ายจริงไม่เกินวันละ 700 บาท
- ค่าห้อง ค่าอาหาร ค่ารักษาพยาบาล กรณีที่รักษาในห้อง ICU ตามจำนวนเท่าที่จ่ายจริงแต่ไม่เกินวันละ 4,500 บาท
",True,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

กรณีผู้ประกันตนประสบอันตรายหรือเจ็บป่วยฉุกเฉิน และไม่สามารถเข้ารับบริการ ณ สถานพยาบาลที่กำหนดสิทธิได้ หากเข้ารับการบริการทางการแพทย์ ณ สถานพยาบาลอื่น สำนักงานประกันสังคมจะจ่ายค่าบริการทางการแพทย์ให้แก่ผู้ประกันตนหรือสถานพยาบาลค่ะ

สำหรับโรงพยาบาลเอกชน ผู้ป่วยนอก จะได้รับค่าบริการทางการแพทย์ตามจำนวนเท่าที่จ่ายจริง ไม่เกิน 1,000 บาทค่ะ

ผู้ป่วยใน จะได้รับค่าบริการทางการแพทย์เฉพาะค่าใช้จ่ายที่เกิดขึ้นจริงตามความจำเป็น ภายในระยะเวลาไม่เกิน 72 ชั่วโมงแรก โดยไม่รวมวันหยุดราชการ ตามหลักเกณฑ์และจำนวนเงินทดแทนค่าบริการทางการแพทย์กรณีประสบอันตรายหรือเจ็บป่วยฉุกเฉิน ดังนี้ค่ะ

*   ค่ารักษาพยาบาลแต่ไม่เกินวันละ 2,000 บาท
*   ค่าห้องและค่าอาหาร ตามจำนวนเท่าที่จ่ายจริงไม่เกินวันละ 700 บาท
*   ค่าห้อง ค่าอาหาร ค่ารักษาพยาบาล กรณีที่รักษาในห้อง ICU ตามจำนวนเท่าที่จ่ายจริงแต่ไม่เกินวันละ 4,500 บาท
*   กรณีที่มีความจำเป็นต้องผ่าตัดใหญ่ กำหนดอัตราตามระยะเวลาการผ่าตัด ไม่เกินครั้งละ 8,000-16,000 บาท ตามระยะเวลาการผ่าตัด
*   ค่าฟื้นคืนชีพ (cardiopulmonary resuscitation-cpr) รวมค่ายาและอุปกรณ์เท่าที่จ่ายจริงไม่เกิน 4,000 บาทต่อราย
*   ค่าตรวจทางห้องปฏิบัติการและหรือค่าเอกซเรย์ เท่าที่จ่ายจริงแต่ไม่เกิน 1,000 บาทต่อราย
*   ค่าตรวจวินิจฉัยพิเศษอื่นๆ จ่ายตามรายการและอัตราดังต่อไปนี้
    *   EKG, ECG เท่าที่จ่ายจริงไม่เกิน 300 บาทต่อราย
    *   Echocardiography เท่าที่จ่ายจริงไม่เกิน 1,500 บาทต่อราย
    *   EEG เท่าที่จ่ายจริงไม่เกิน 300 บาทต่อราย
    *   Ultrasound เท่าที่จ่ายจริงไม่เกิน 1,000 บาทต่อราย
    *   CAG เท่าที่จ่ายจริงไม่เกิน 15,00",True,"Mostly correct and aligned with expected info; retrieval includes the expected chunk. The answer clearly explains emergency-case coverage and reimbursement limits, though it omits the contribution eligibility detail and has a minor typo on one amount.",
3,2,แค่อยากไปให้หมอตรวจแล้วเอายามากินครับ ไม่อยากแอดมิด พรุ่งนี้มีงานต้องไปทำต่อครับ,2,"49,6,2,3,4,1,8,34,15,47,45,17","กรณีผู้ป่วยนอก และไม่สามารถเข้ารับบริการ ณ สถานพยาบาลที่กำหนดสิทธิได้ คุณมีสิทธิ์ได้รับค่าบริการทางการแพทย์ตามจำนวนเท่าที่จ่ายจริงไม่เกิน 1,000 บาทครับ",True,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

กรณีที่คุณต้องการไปพบแพทย์เพื่อตรวจและรับยา โดยไม่ต้องการแอดมิท และต้องการกลับไปทำงานในวันพรุ่งนี้ สามารถเข้ารับการรักษาแบบผู้ป่วยนอกได้ค่ะ

หากคุณประสบอันตรายหรือเจ็บป่วยฉุกเฉิน และไม่สามารถเข้ารับบริการ ณ สถานพยาบาลที่ลงทะเบียนไว้ได้ คุณสามารถเข้ารับการรักษาที่โรงพยาบาลเอกชนในต่างจังหวัดได้ค่ะ

สำหรับค่าบริการทางการแพทย์กรณีผู้ป่วยนอกที่โรงพยาบาลเอกชน สำนักงานประกันสังคมจะจ่ายให้ตามจำนวนที่จ่ายจริง แต่ไม่เกิน 1,000 บาทค่ะ

ไม่ทราบว่าสนใจรายละเอียดตรงไหนเพิ่มเติมไหมคะ",True,"Retrieval includes the expected chunk. The answer correctly states outpatient coverage and the 1,000 THB reimbursement cap, though it adds an emergency condition that’s slightly more restrictive than necessary. Overall, content is mostly correct and acceptable.",
3,3,แล้วในกรณีนี้ผมต้องทำเรื่องเบิกยังไง,2,"43,45,25,1,17,7,44,5,46,4,21,18",ขออภัยครับ ข้อมูลส่วนนี้ไม่ปรากฎในคู่มือประกันตนที่ผมเข้าถึง ณ ตอนนี้ จึงยืนยันคำตอบให้ไม่ได้ครับ ,False,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

ในกรณีที่คุณเข้ารับการรักษาที่โรงพยาบาลเอกชนในต่างจังหวัด เนื่องจากเจ็บป่วยฉุกเฉินและไม่สามารถไปโรงพยาบาลที่ลงทะเบียนไว้ได้ คุณจะต้องสำรองจ่ายค่ารักษาพยาบาลไปก่อน จากนั้นจึงยื่นเรื่องเบิกกับสำนักงานประกันสังคมค่ะ

เอกสารที่ต้องใช้ในการเบิกมีดังนี้ค่ะ

*   แบบฟอร์มการขอเบิกค่ารักษาพยาบาล (สามารถดาวน์โหลดได้จากเว็บไซต์สำนักงานประกันสังคม หรือติดต่อขอรับได้ที่สำนักงานฯ)
*   ใบเสร็จรับเงินค่ารักษาพยาบาลฉบับจริง
*   ใบรับรองแพทย์
*   สำเนาบัตรประจำตัวประชาชนของผู้ประกันตน
*   สำเนาหน้าสมุดบัญชีเงินฝากธนาคารของผู้ประกันตน เพื่อให้สำนักงานฯ โอนเงินค่าสินไหมทดแทนเข้าบัญชี

คุณสามารถยื่นเอกสารทั้งหมดได้ที่สำนักงานประกันสังคมกรุงเทพมหานครพื้นที่ หรือสำนักงานประกันสังคมจังหวัดที่สะดวกค่ะ

ไม่ทราบว่าต้องการให้ช่วยตรวจสอบข้อมูลส่วนไหนเพิ่มเติมไหมคะ",False,"Retrieval missed the expected chunk (2), so context alignment is poor. The answer provides specific reimbursement steps that are not supported by the retrieved chunks and contradict the expected response of being unable to confirm. Both retrieval and answer content are incorrect for this turn.","[
  ""Missing expected chunk; retrieval failure causing unsupported or hallucinated content"",
  ""Failed to follow “information unavailable” fallback; provided unsupported guidance instead""
]"
4,1,ผมสามารถโทรถามข้อมูลได้ไหมครับ,47,"50,39,45,14,46,49,52,21,43,4,2,38",ได้ครับ ขอทราบหน่วยงานสังกัดสำนักงานประกันสังคมหรือจังหวัดที่อยู่ของคุณครับ,False,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

คุณสามารถติดต่อสอบถามข้อมูลเพิ่มเติมได้ที่ สายด่วน 1506 ซึ่งให้บริการตลอด 24 ชั่วโมงค่ะ

ไม่ทราบว่าสนใจรายละเอียดตรงไหนเพิ่มเติมไหมคะ?",True,"Answer is correct and helpful, confirming they can call and providing the 1506 hotline. Retrieval did not include the expected chunk, so retrieval accuracy is weak, but the content sufficiently addresses the question.",
4,2,ผมอยู่สงขลาครับ,47,"52,51,1,0,6,16,25,9,28,23,4,41","หมายเลขโทรศัทพ์หน่วยงานสังกัดสำนักงานประกันสังคมของคุณ มีดังนี้ครับ
- สำนักงานประกันสังคมจังหวัดสงขลา โทร 0 7430 0550
   - สาขาหาดใหญ่ โทร 0 7455 9600-4
   - สาขาสะเดา 0 7424 1317, 0 7424 1319",False,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

สำหรับผู้ที่อยู่จังหวัดสงขลา สามารถติดต่อสอบถามข้อมูลเพิ่มเติมได้ที่ สำนักงานประกันสังคมจังหวัดสงขลา หรือสาขาในพื้นที่ค่ะ

ไม่ทราบว่าสนใจรายละเอียดตรงไหนเพิ่มเติมไหมคะ?",False,"Retrieval missed the expected chunk (47), and the answer is too generic—no phone numbers provided. Essential details from the expected answer are omitted, so both retrieval and content are insufficient.","[
  ""Missing expected chunk; retrieval failure causing unsupported or hallucinated content"",
  ""Incomplete answers omitting essential details, numbers, or specific requested information"",
  ""Irrelevant, generic, or off-topic responses not using retrieved context properly""
]"
