Session ID,Turn,Question,Expected Chunk ID,Actual Chunk ID,Expected Answer,Actual Answer,Result,Comments
1,1,สอบถามหน่อยครับ ต้นเดือนหน้าผมจะเริ่มว่างงาน ถ้าผมต้องการเงินชดเชยกรณีว่างงานต้องทำยังไงครับ,13,"13,1,17,27,28,44,37,45,36,43,8,40","ได้เลยครับ เบื้องต้นผมของสอบถามข้อมูลเพิ่มเติม ดังนี้
1. คุณเป็นผู้ประกันตนที่ส่งเงินสมทบครบ 6 เดือน ภายใน 15 เดือนก่อนการว่างงานหรือไม่
2. คุณอยู่ในกรณีใด
     - ถูกเลิกจ้าง
     - ลาออกหรือสิ้นสุดสัญญาจ้างที่มีกำหนดระยะเวลาการจ้างไว้แน่นอน
     - ทำงานไม่ได้จากเหตุสุดวิสัย เช่น เหตุเกิดจากภัยธรรมชาติที่ทำให้นายจ้างไม่สามารถประกอบกิจการได้ตามปกติ","สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

กรณีว่างงาน ผู้ประกันตนต้องส่งเงินสมทบครบ 6 เดือน ภายใน 15 เดือนก่อนการว่างงานค่ะ

หากถูกเลิกจ้าง จะได้รับเงินทดแทนการขาดรายได้ร้อยละ 50 ของค่าจ้าง ครั้งละไม่เกิน 180 วันค่ะ

หากลาออกหรือสิ้นสุดสัญญาจ้าง จะได้รับเงินทดแทนการขาดรายได้ร้อยละ 30 ของค่าจ้าง ครั้งละไม่เกิน 90 วันค่ะ

ทั้งนี้ หากใน 1 ปีปฏิทิน มีการยื่นขอรับเงินทดแทนทั้งสองกรณี จะนับระยะเวลารวมกันไม่เกิน 180 วันค่ะ

หากมีการยื่นขอรับเงินทดแทนกรณีลาออกเกิน 1 ครั้งใน 1 ปีปฏิทิน จะนับระยะเวลารวมกันไม่เกิน 90 วันค่ะ

ผู้ประกันตนต้องขึ้นทะเบียนผู้ว่างงานและรายงานตัวทางอินเทอร์เน็ตที่เว็บไซต์ www.empui.doe.go.th ภายใน 30 วัน นับแต่วันที่ถูกเลิกจ้าง ลาออก หรือสิ้นสุดสัญญาจ้าง เพื่อไม่ให้เสียสิทธิในการรับเงินทดแทนกรณีว่างงานค่ะ

ไม่ทราบว่าสนใจรายละเอียดตรงไหนเพิ่มเติมไหมคะ?",True,"Retrieval includes the expected chunk. The answer is accurate and helpful, covering eligibility, benefit rates/durations, and the 30-day registration step; minor omission on the force majeure case and it didn’t ask the follow-up questions as expected, but overall content is correct and acceptable."
1,2,"1. ใช่ครับ
2.ลาออกเองครับ",13,"20,15,13,21,1,16,17,4,0,24,37,5","หากคุณเป็นผู้ประกันตนที่ส่งเงินสมทบครบ 6 เดือน ภายใน 15 เดือนก่อนการว่างงาน และอยู่ในกรณีที่ 2 คือลาออก คุณจะได้รับเงินทดแทน โดยมีรายละเอียด ดังนี้
- ได้รับเงินทดแทนการขาดรายได้ในระหว่างการว่างงานร้อยละ 30 ของค่าจ้าง ครั้งละไม่เกิน 90 วัน
- หากใน 1 ปีปฏิทิน มีการยื่นขอรับเงินทดแทนการขาดรายได้
ในระหว่างการว่างงาน ให้นับระยะเวลาการรับเงินทดแทนการขาดรายได้ในระหว่างการว่างงาน รวมกันไม่เกิน 180 วัน
- หากใน 1 ปีปฏิทิน มีการยื่นขอรับเงินทดแทนการขาดรายได้
ในระหว่างการว่างงาน เกิน 1 ครั้ง ให้นับระยะเวลาการรับเงินทดแทนการขาดรายได้ในระหว่างการว่างงาน รวมกันไม่เกิน 90 วัน

โดยผู้ประกันตนต้องขึ้นทะเบียนผู้ว่างงานและรายงานตัว
ทางระบบอินเตอร์เน็ต (เว็บไซต์ www.empui.doe.go.th) ภายใน
30 วัน นับแต่วันที่ถูกเลิกจ้างหรือลาออก หรือสิ้นสุดสัญญาจ้างฯ
เพื่อมิให้เสียสิทธิในการรับเงินทดแทนการขาดรายได้กรณีว่างงาน","สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

กรณีลาออกเอง ผู้ประกันตนต้องส่งเงินสมทบครบ 6 เดือน ภายใน 15 เดือนก่อนการลาออกค่ะ

จะได้รับเงินทดแทนการขาดรายได้ในระหว่างการว่างงาน ร้อยละ 30 ของค่าจ้าง ครั้งละไม่เกิน 90 วันค่ะ

ผู้ประกันตนต้องขึ้นทะเบียนผู้ว่างงานและรายงานตัวทางอินเทอร์เน็ตที่เว็บไซต์ www.empui.doe.go.th ภายใน 30 วัน นับแต่วันที่ลาออก เพื่อไม่ให้เสียสิทธิในการรับเงินทดแทนกรณีว่างงานค่ะ

ไม่ทราบว่าสนใจรายละเอียดตรงไหนเพิ่มเติมไหมคะ?",True,"Retrieval includes the expected chunk (13), though with extra ones. The answer correctly states the key conditions and benefits for resignation (6 months in 15, 30% up to 90 days, register within 30 days). Minor omission: no mention of the calendar-year day limits (180/90), but overall acceptable."
2,1,ถ้าต้องการยื่นขึ้นทะเบียนประกันสังคมต้องใช้เอกสารอะไรบ้าง,1,"17,1,0,24,44,25,21,23,46,20,49,15","หลักฐานประจำตัวผู้ประกันตน มีดังนี้
1. สำหรับผู้ประกันตนที่เป็นคนไทยจะใช้บัตรประจำตัวประชาชนแทนบัตรประกันสังคม
2. ผู้ประกันตนที่เป็นคนต่างด้าวที่ทำงานโดยมีใบอนุญาตทำงานจะได้รับบัตรประกันสังคม เพื่อใช้ติดต่อกับสำนักงานประกันสังคม
3. ผู้ประกันตนที่เป็นคนต่างด้าวที่มีบัตรประจำตัวที่กรมการปกครองออกให้ หรือผู้ประกันตนต่างด้าวที่มีใบสำคัญประจำตัวคนต่างด้าวให้ใช้เอกสารดังกล่าวแทนบัตรประกันสังคม เพื่อใช้ติดต่อกับสำนักงานประกันสังคม","สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

หากต้องการยื่นขึ้นทะเบียนนายจ้าง จะต้องขึ้นทะเบียนนายจ้างพร้อมกับขึ้นทะเบียนลูกจ้างที่เป็นผู้ประกันตนภายใน 30 วัน นับตั้งแต่มีลูกจ้าง 1 คนขึ้นไป และเมื่อมีการรับลูกจ้างใหม่เพิ่มขึ้นต้องแจ้งขึ้นทะเบียนลูกจ้างใหม่ภายใน 30 วัน นับแต่วันที่ลูกจ้างเข้าทำงานค่ะ

สำหรับหลักฐานประจำตัวผู้ประกันตน มีดังนี้ค่ะ
1. ผู้ประกันตนที่เป็นคนไทย ใช้บัตรประจำตัวประชาชนแทนบัตรประกันสังคม
2. ผู้ประกันตนที่เป็นคนต่างด้าวที่ทำงานโดยมีใบอนุญาตทำงาน จะได้รับบัตรประกันสังคม
3. ผู้ประกันตนที่เป็นคนต่างด้าวที่มีบัตรประจำตัวที่กรมการปกครองออกให้ หรือผู้ประกันต่างด้าวที่มีใบสำคัญประจำตัวคนต่างด้าว ให้ใช้เอกสารดังกล่าวแทนบัตรประกันสังคมค่ะ

ไม่ทราบว่าสนใจรายละเอียดตรงไหนเพิ่มเติมไหมคะ?",True,Retrieval is acceptable since the expected chunk is included. The answer correctly lists the required identification documents as expected; the added employer registration timing is extra but does not detract from the correct content.
2,2,แล้วต้องไปยื่นขึ้นทะเบียนที่ไหน,1,"23,1,0,49,44,14,19,25,17,24,21,46","- กรณีนายจ้าง ที่มีสำนักงานใหญ่ตั้งอยู่ในเขตกรุงเทพมหานครให้ยื่นแบบได้ที่สำนักงานประกันสังคมกรุงเทพมหานครพื้นที่นที่สถานประกอบการตั้งอยู่
- กรณีนายจ้าง ที่มีสำนักงานใหญ่ในส่วนภูมิภาคให้ยื่นแบบขึ้นทะเบียนได้ที่สำนักงานประกันสังคมจังหวัดที่สถานประกอบการตั้งอยู่

***นายจ้างสามารถทำธุรกรรมผ่านทางอินเตอร์เน็ตได้ที่ www.sso.go.th***","นายจ้างที่มีสำนักงานใหญ่ตั้งอยู่ในเขตกรุงเทพมหานคร ให้ยื่นแบบได้ที่สำนักงานประกันสังคมกรุงเทพมหานครพื้นที่ที่สถานประกอบการตั้งอยู่ค่ะ

นายจ้างที่มีสำนักงานใหญ่ในส่วนภูมิภาค ให้ยื่นแบบขึ้นทะเบียนได้ที่สำนักงานประกันสังคมจังหวัดที่สถานประกอบการตั้งอยู่ค่ะ

นายจ้างสามารถทำธุรกรรมผ่านทางอินเทอร์เน็ตได้ที่ www.sso.go.th ค่ะ

ไม่ทราบว่าสนใจรายละเอียดตรงไหนเพิ่มเติมไหมคะ?",True,Retrieval includes the expected chunk. The answer accurately covers both Bangkok and provincial offices and mentions the online option; wording differences are minor and acceptable.
2,3,ต้องไปยื่นภายในกี่วัน,1,"44,49,21,13,16,17,1,6,46,20,28,7",เมื่อมีการรับลูกจ้างใหม่เพิ่มขึ้นต้องแจ้งขึ้นทะเบียนลูกจ้างใหม่ภายใน 30 วัน นับแต่ลูกจ้างเข้าทำงานครับ,"นายจ้างจะต้องขึ้นทะเบียนนายจ้างพร้อมกับขึ้นทะเบียนลูกจ้างที่เป็นผู้ประกันตนภายใน 30 วัน นับตั้งแต่มีลูกจ้าง 1 คนขึ้นไปค่ะ

และเมื่อมีการรับลูกจ้างใหม่เพิ่มขึ้น ต้องแจ้งขึ้นทะเบียนลูกจ้างใหม่ภายใน 30 วัน นับแต่วันที่ลูกจ้างเข้าทำงานค่ะ

ไม่ทราบว่าสนใจรายละเอียดตรงไหนเพิ่มเติมไหมคะ?",True,"Answer correctly states the 30-day timeframe for registering new employees and adds consistent employer-registration context. Retrieval is acceptable since it includes the expected chunk (ID 1), though it fetched many extra chunks. Overall correct and acceptable."
3,1,ผมไข้ขึ้นที่ต่างจังหวัด ไปรพ.ที่ลงทะเบียนไว้ไม่ได้ ถ้าผมไปเข้า รพ.เอกชน ในต่างจังหวัด จะเบิกได้ไหม,2,"43,4,3,2,8,1,6,7,46,22,27,25","คุณสามารถเบิกค่ารักษากับสำนักงานประกันสังคมได้ครับ หากคุณเป็นผู้ประกันตนที่ส่งเงินสมทบครบ 3 เดือน ภายใน 15 เดือนก่อนเดือนที่เจ็บป่วย โดยกรณีการประสบเจ็บป่วยฉุกเฉิน ไม่สามารถเข้ารับบริการ ณ สถานพยาบาลที่กำหนดสิทธิได้ เมื่อเข้ารับการบริการทางการแพทย์ ณ สถานพยาบาลอื่น ซึ่งหากคุณต้องการเข้ารักษาใน รพ.เอกชน สำนักงานประกันสังคมจ่ายค่าบริการทางการแพทย์ให้แก่ผู้ประกันตนหรือสถานพยาบาล ดังนี้
1. ผู้ป่วยนอก
: ให้ได้รับค่าบริการทางการแพทย์ตามจำนวนเท่าที่จ่ายจริงไม่เกิน 1,000 บาท
2. ผู้ป่วยใน
: ให้ได้รับค่าบริการทางการแพทย์เฉพาะค่าใช้จ่ายที่เกิดขึ้นจริงตามความจำเป็น ภายในระยะเวลาไม่เกิน 72 ชั่วโมงแรก โดยไม่รวมวันหยุดราชการ ตามหลักเกณฑ์และจำนวนเงินทดแทนค่าบริการทางการแพทย์กรณีประสบอันตรายหรือเจ็บป่วยฉุกเฉิน ดังนี้
- ค่ารักษาพยาบาลแต่ไม่เกินวันละ 2,000 บาท
- ค่าห้องและค่าอาหาร ตามจำนวนเท่าที่จ่ายจริงไม่เกินวันละ 700 บาท
- ค่าห้อง ค่าอาหาร ค่ารักษาพยาบาล กรณีที่รักษาในห้อง ICU ตามจำนวนเท่าที่จ่ายจริงแต่ไม่เกินวันละ 4,500 บาท
","สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

กรณีผู้ประกันตนประสบอันตรายหรือเจ็บป่วยฉุกเฉิน และไม่สามารถเข้ารับบริการ ณ สถานพยาบาลที่กำหนดสิทธิได้ หากเข้ารับการรักษาที่โรงพยาบาลเอกชนในต่างจังหวัด จะได้รับค่าบริการทางการแพทย์ตามจำนวนเท่าที่จ่ายจริง แต่ไม่เกิน 2,000 บาทต่อเดือนสำหรับผู้ป่วยนอก และไม่เกิน 4,000 บาทต่อเดือนสำหรับผู้ป่วยในค่ะ

นอกจากนี้ ยังมีค่าใช้จ่ายอื่นๆ ที่สามารถเบิกได้ตามเงื่อนไข เช่น ค่าห้องและค่าอาหารไม่เกิน 700 บาทต่อวัน และค่ารักษาพยาบาลกรณีห้อง ICU ไม่เกิน 4,500 บาทต่อวันค่ะ

ไม่ทราบว่าสนใจรายละเอียดตรงไหนเพิ่มเติมไหมคะ?",False,"Retrieval is acceptable (expected chunk 2 is included), but the answer content is incorrect: it states wrong reimbursement limits (e.g., OPD 2,000/month and IPD 4,000/month) and omits key conditions like the 3-in-15-month contribution requirement and the 72-hour emergency limit."
3,2,แค่อยากไปให้หมอตรวจแล้วเอายามากินครับ ไม่อยากแอดมิด พรุ่งนี้มีงานต้องไปทำต่อครับ,2,"49,6,2,3,4,1,8,34,15,47,45,17","กรณีผู้ป่วยนอก และไม่สามารถเข้ารับบริการ ณ สถานพยาบาลที่กำหนดสิทธิได้ คุณมีสิทธิ์ได้รับค่าบริการทางการแพทย์ตามจำนวนเท่าที่จ่ายจริงไม่เกิน 1,000 บาทครับ","สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

กรณีที่คุณต้องการไปพบแพทย์เพื่อตรวจวินิจฉัยและรับยา โดยไม่ต้องการเข้ารับการรักษาเป็นผู้ป่วยใน (แอดมิด) และต้องการกลับไปทำงานต่อในวันพรุ่งนี้ สามารถเข้ารับการรักษาในฐานะผู้ป่วยนอกได้ค่ะ

หากคุณเข้ารับการรักษาที่โรงพยาบาลเอกชนในต่างจังหวัดในกรณีเจ็บป่วยฉุกเฉินที่ไม่สามารถเข้ารับการรักษา ณ สถานพยาบาลที่ลงทะเบียนไว้ได้ คุณจะได้รับค่าบริการทางการแพทย์เท่าที่จ่ายจริง แต่ไม่เกิน 1,000 บาทค่ะ

ไม่ทราบว่าต้องการสอบถามรายละเอียดเพิ่มเติมเกี่ยวกับสิทธิประโยชน์ด้านผู้ป่วยนอก หรือต้องการให้ช่วยตรวจสอบข้อมูลส่วนอื่นไหมคะ?",True,"Retrieval is acceptable as it includes the expected chunk. The answer correctly states outpatient eligibility and reimbursement up to 1,000 baht, though it adds unnecessary/overly specific conditions (private hospital, different province, emergency) and is verbose. Overall mostly correct and acceptable."
3,3,แล้วในกรณีนี้ผมต้องทำเรื่องเบิกยังไง,2,"43,45,25,1,17,7,44,5,46,4,21,18",ขออภัยครับ ข้อมูลส่วนนี้ไม่ปรากฎในคู่มือประกันตนที่ผมเข้าถึง ณ ตอนนี้ จึงยืนยันคำตอบให้ไม่ได้ครับ ,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

ในกรณีที่คุณเข้ารับการรักษาที่โรงพยาบาลเอกชนในต่างจังหวัด เนื่องจากเจ็บป่วยฉุกเฉินและไม่สามารถเข้ารับการรักษาที่สถานพยาบาลที่ลงทะเบียนไว้ได้ คุณจะต้องสำรองจ่ายค่ารักษาพยาบาลไปก่อน จากนั้นจึงนำใบเสร็จรับเงินตัวจริงพร้อมเอกสารประกอบการเบิกมายื่นต่อสำนักงานประกันสังคมค่ะ

เอกสารที่ต้องใช้ในการเบิกมีดังนี้ค่ะ
*   แบบฟอร์มการขอเบิกค่ารักษาพยาบาล (สามารถดาวน์โหลดได้จากเว็บไซต์สำนักงานประกันสังคม หรือติดต่อขอรับได้ที่สำนักงานฯ)
*   ใบเสร็จรับเงินค่ารักษาพยาบาลฉบับจริง
*   สำเนาบัตรประจำตัวประชาชนของผู้ยื่นเบิก
*   สำเนาหน้าสมุดบัญชีเงินฝากธนาคารของผู้ยื่นเบิก (เพื่อรับเงินค่ารักษาพยาบาล)

คุณสามารถยื่นเอกสารได้ที่สำนักงานประกันสังคมกรุงเทพมหานครพื้นที่ หรือสำนักงานประกันสังคมจังหวัดที่สะดวกค่ะ

ไม่ทราบว่าต้องการสอบถามรายละเอียดเพิ่มเติมเกี่ยวกับขั้นตอนการยื่นเอกสาร หรือต้องการให้ช่วยตรวจสอบข้อมูลส่วนอื่นไหมคะ?",False,"Retrieval missed the expected chunk (2). The answer invents detailed reimbursement steps and contradicts the expected “information unavailable” response, so the content is not supported by the intended source."
4,1,ผมสามารถโทรถามข้อมูลได้ไหมครับ,52,"50,39,45,14,46,49,52,21,43,4,2,38",ได้ครับ ขอทราบหน่วยงานสังกัดสำนักงานประกันสังคมหรือจังหวัดที่อยู่ของคุณครับ,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

คุณสามารถสอบถามข้อมูลเพิ่มเติมได้ที่ สายด่วน 1506 ตลอด 24 ชั่วโมงค่ะ มีเรื่องอื่น ๆ อยากสอบถามเพิ่มเติมไหมคะ?",True,"Retrieval includes the expected chunk. The answer appropriately confirms calling is possible and provides the 1506 hotline, which is helpful, though it differs from the expected prompt asking for province/agency details. Overall acceptable."
4,2,ผมอยู่สงขลาครับ,52,"52,51,1,0,6,16,25,9,28,23,4,41","หมายเลขโทรศัทพ์หน่วยงานสังกัดสำนักงานประกันสังคมของคุณ มีดังนี้ครับ
- สำนักงานประกันสังคมจังหวัดสงขลา โทร 0 7430 0550
   - สาขาหาดใหญ่ โทร 0 7455 9600-4
   - สาขาสะเดา 0 7424 1317, 0 7424 1319","สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

สำนักงานประกันสังคมจังหวัดสงขลา ตั้งอยู่ที่:
*   สำนักงานประกันสังคมจังหวัดสงขลา โทรศัพท์ 0 7430 0550
*   สำนักงานประกันสังคมจังหวัดสงขลา สาขาหาดใหญ่ โทรศัพท์ 0 7455 9600-4
*   สำนักงานประกันสังคมจังหวัดสงขลา สาขาสะเดา โทรศัพท์ 0 7424 1317, 0 7424 1319

ไม่ทราบว่าสนใจรายละเอียดตรงไหนเพิ่มเติมไหมคะ?",True,"Retrieval includes the expected chunk (52). The answer provides the correct phone numbers for Songkhla, Hat Yai, and Sadao; minor extra introduction/wording but content is accurate and acceptable."
