Session ID,Turn,Question,Expected Chunk ID,Actual Chunk ID,Expected Answer,Found,Actual Answer,Result,Comments,Reasons for Failure
1,1,สอบถามหน่อยครับ ต้นเดือนหน้าผมจะเริ่มว่างงาน ถ้าผมต้องการเงินชดเชยกรณีว่างงานต้องทำยังไงครับ,13,"13,1,17,27,28","ได้เลยครับ เบื้องต้นผมของสอบถามข้อมูลเพิ่มเติม ดังนี้
1. คุณเป็นผู้ประกันตนที่ส่งเงินสมทบครบ 6 เดือน ภายใน 15 เดือนก่อนการว่างงานหรือไม่
2. คุณอยู่ในกรณีใด
     - ถูกเลิกจ้าง
     - ลาออกหรือสิ้นสุดสัญญาจ้างที่มีกำหนดระยะเวลาการจ้างไว้แน่นอน
     - ทำงานไม่ได้จากเหตุสุดวิสัย เช่น เหตุเกิดจากภัยธรรมชาติที่ทำให้นายจ้างไม่สามารถประกอบกิจการได้ตามปกติ",True,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

กรณีว่างงาน ผู้ประกันตนต้องส่งเงินสมทบครบ 6 เดือน ภายใน 15 เดือนก่อนการว่างงานค่ะ

หากถูกเลิกจ้าง จะได้รับเงินทดแทนการขาดรายได้ระหว่างว่างงานร้อยละ 50 ของค่าจ้าง ครั้งละไม่เกิน 180 วันค่ะ

หากลาออกหรือสิ้นสุดสัญญาจ้าง จะได้รับเงินทดแทนการขาดรายได้ระหว่างว่างงานร้อยละ 30 ของค่าจ้าง ครั้งละไม่เกิน 90 วันค่ะ

ทั้งนี้ ใน 1 ปีปฏิทิน หากมีการยื่นขอรับเงินทดแทนการขาดรายได้ทั้งสองกรณี จะนับระยะเวลารวมกันไม่เกิน 180 วันค่ะ

หากใน 1 ปีปฏิทิน มีการยื่นขอรับเงินทดแทนการขาดรายได้กรณีลาออกหรือสิ้นสุดสัญญาจ้างเกิน 1 ครั้ง จะนับระยะเวลารวมกันไม่เกิน 90 วันค่ะ

ผู้ประกันตนต้องขึ้นทะเบียนผู้ว่างงานและรายงานตัวทางระบบอินเทอร์เน็ตที่เว็บไซต์ www.empui.doe.go.th ภายใน 30 วัน นับแต่วันที่ถูกเลิกจ้าง ลาออก หรือสิ้นสุดสัญญาจ้าง เพื่อไม่ให้เสียสิทธิในการรับเงินทดแทนการขาดรายได้กรณีว่างงานค่ะ

ไม่ทราบว่าสนใจรายละเอียดตรงไหนเพิ่มเติมไหมคะ?",True,"Retrieval is acceptable as it includes the expected chunk. The answer correctly covers eligibility, benefit rates, and the registration step, addressing what the user should do. Minor omission of the force majeure case and it didn’t ask the clarifying questions as in the expected answer, but overall acceptable.",
1,2,"1. ใช่ครับ
2.ลาออกเองครับ",13,"20,15,13,21,1","หากคุณเป็นผู้ประกันตนที่ส่งเงินสมทบครบ 6 เดือน ภายใน 15 เดือนก่อนการว่างงาน และอยู่ในกรณีที่ 2 คือลาออก คุณจะได้รับเงินทดแทน โดยมีรายละเอียด ดังนี้
- ได้รับเงินทดแทนการขาดรายได้ในระหว่างการว่างงานร้อยละ 30 ของค่าจ้าง ครั้งละไม่เกิน 90 วัน
- หากใน 1 ปีปฏิทิน มีการยื่นขอรับเงินทดแทนการขาดรายได้
ในระหว่างการว่างงาน ให้นับระยะเวลาการรับเงินทดแทนการขาดรายได้ในระหว่างการว่างงาน รวมกันไม่เกิน 180 วัน
- หากใน 1 ปีปฏิทิน มีการยื่นขอรับเงินทดแทนการขาดรายได้
ในระหว่างการว่างงาน เกิน 1 ครั้ง ให้นับระยะเวลาการรับเงินทดแทนการขาดรายได้ในระหว่างการว่างงาน รวมกันไม่เกิน 90 วัน

โดยผู้ประกันตนต้องขึ้นทะเบียนผู้ว่างงานและรายงานตัว
ทางระบบอินเตอร์เน็ต (เว็บไซต์ www.empui.doe.go.th) ภายใน
30 วัน นับแต่วันที่ถูกเลิกจ้างหรือลาออก หรือสิ้นสุดสัญญาจ้างฯ
เพื่อมิให้เสียสิทธิในการรับเงินทดแทนการขาดรายได้กรณีว่างงาน",True,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

กรณีลาออกเอง ผู้ประกันตนต้องส่งเงินสมทบครบ 6 เดือน ภายใน 15 เดือนก่อนการว่างงานค่ะ

จะได้รับเงินทดแทนการขาดรายได้ระหว่างว่างงานร้อยละ 30 ของค่าจ้าง ครั้งละไม่เกิน 90 วันค่ะ

ผู้ประกันตนต้องขึ้นทะเบียนผู้ว่างงานและรายงานตัวทางระบบอินเทอร์เน็ตที่เว็บไซต์ www.empui.doe.go.th ภายใน 30 วัน นับแต่วันที่ลาออก เพื่อไม่ให้เสียสิทธิในการรับเงินทดแทนการขาดรายได้กรณีว่างงานค่ะ

ไม่ทราบว่าสนใจรายละเอียดตรงไหนเพิ่มเติมไหมคะ?",True,"Retrieval includes the expected chunk. The answer correctly covers eligibility (6 months in 15), benefit rate/duration (30% up to 90 days), and registration within 30 days, though it omits the annual maximum days detail; overall acceptable.",
2,1,ถ้าต้องการยื่นขึ้นทะเบียนประกันสังคมต้องใช้เอกสารอะไรบ้าง,1,"17,1,0,24,44","หลักฐานประจำตัวผู้ประกันตน มีดังนี้
1. สำหรับผู้ประกันตนที่เป็นคนไทยจะใช้บัตรประจำตัวประชาชนแทนบัตรประกันสังคม
2. ผู้ประกันตนที่เป็นคนต่างด้าวที่ทำงานโดยมีใบอนุญาตทำงานจะได้รับบัตรประกันสังคม เพื่อใช้ติดต่อกับสำนักงานประกันสังคม
3. ผู้ประกันตนที่เป็นคนต่างด้าวที่มีบัตรประจำตัวที่กรมการปกครองออกให้ หรือผู้ประกันตนต่างด้าวที่มีใบสำคัญประจำตัวคนต่างด้าวให้ใช้เอกสารดังกล่าวแทนบัตรประกันสังคม เพื่อใช้ติดต่อกับสำนักงานประกันสังคม",True,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

หากคุณเป็นนายจ้างที่ต้องการขึ้นทะเบียนนายจ้างและลูกจ้าง จะต้องใช้เอกสารดังนี้ค่ะ

*   **การขึ้นทะเบียนนายจ้าง:** นายจ้างที่มีลูกจ้างตั้งแต่ 1 คนขึ้นไป ต้องขึ้นทะเบียนนายจ้างพร้อมกับขึ้นทะเบียนลูกจ้างภายใน 30 วัน นับตั้งแต่มีลูกจ้างคนแรก และเมื่อรับลูกจ้างใหม่เพิ่มขึ้น ต้องแจ้งขึ้นทะเบียนลูกจ้างใหม่ภายใน 30 วัน นับแต่วันที่ลูกจ้างเข้าทำงานค่ะ
*   **หลักฐานประจำตัวผู้ประกันตน:**
    *   สำหรับผู้ประกันตนที่เป็นคนไทย ใช้บัตรประจำตัวประชาชน
    *   ผู้ประกันตนที่เป็นคนต่างด้าวที่ทำงานโดยมีใบอนุญาตทำงาน จะได้รับบัตรประกันสังคม
    *   ผู้ประกันตนที่เป็นคนต่างด้าวที่มีบัตรประจำตัวที่กรมการปกครองออกให้ หรือผู้ประกันตนต่างด้าวที่มีใบสำคัญประจำตัวคนต่างด้าว ให้ใช้เอกสารดังกล่าวแทนบัตรประกันสังคมค่ะ

นายจ้างสามารถยื่นแบบได้ที่สำนักงานประกันสังคมกรุงเทพมหานครพื้นที่ หรือสำนักงานประกันสังคมจังหวัดที่สถานประกอบการตั้งอยู่ หรือทำธุรกรรมผ่านทางอินเทอร์เน็ตได้ที่ www.sso.go.th ค่ะ

ไม่ทราบว่าสนใจรายละเอียดตรงไหนเพิ่มเติมไหมคะ?",True,"Retrieval is acceptable as it includes the expected chunk. The answer correctly lists the required documents for insured persons; it adds extra employer-related info, but the core content matches the expected answer.",
2,2,แล้วต้องไปยื่นขึ้นทะเบียนที่ไหน,1,"23,1,0,49,44","- กรณีนายจ้าง ที่มีสำนักงานใหญ่ตั้งอยู่ในเขตกรุงเทพมหานครให้ยื่นแบบได้ที่สำนักงานประกันสังคมกรุงเทพมหานครพื้นที่นที่สถานประกอบการตั้งอยู่
- กรณีนายจ้าง ที่มีสำนักงานใหญ่ในส่วนภูมิภาคให้ยื่นแบบขึ้นทะเบียนได้ที่สำนักงานประกันสังคมจังหวัดที่สถานประกอบการตั้งอยู่

***นายจ้างสามารถทำธุรกรรมผ่านทางอินเตอร์เน็ตได้ที่ www.sso.go.th***",True,"นายจ้างที่มีสำนักงานใหญ่ตั้งอยู่ในเขตกรุงเทพมหานคร ให้ยื่นแบบได้ที่สำนักงานประกันสังคมกรุงเทพมหานครพื้นที่ที่สถานประกอบการตั้งอยู่ค่ะ

นายจ้างที่มีสำนักงานใหญ่ในส่วนภูมิภาค ให้ยื่นแบบขึ้นทะเบียนได้ที่สำนักงานประกันสังคมจังหวัดที่สถานประกอบการตั้งอยู่ค่ะ

นอกจากนี้ นายจ้างยังสามารถทำธุรกรรมผ่านทางอินเทอร์เน็ตได้ที่ www.sso.go.th ค่ะ

มีเรื่องอื่น ๆ อยากสอบถามเพิ่มเติมไหมคะ?",True,"Retrieval includes the expected chunk (1), so acceptable. The answer accurately covers both Bangkok and provincial offices and mentions the online option at www.sso.go.th; phrasing differences are minor and correct.",
2,3,ต้องไปยื่นภายในกี่วัน,1,"44,49,21,13,16",เมื่อมีการรับลูกจ้างใหม่เพิ่มขึ้นต้องแจ้งขึ้นทะเบียนลูกจ้างใหม่ภายใน 30 วัน นับแต่ลูกจ้างเข้าทำงานครับ,False,"นายจ้างต้องขึ้นทะเบียนนายจ้างพร้อมกับขึ้นทะเบียนลูกจ้างภายใน 30 วัน นับตั้งแต่มีลูกจ้าง 1 คนขึ้นไปค่ะ

และเมื่อรับลูกจ้างใหม่เพิ่มขึ้น ต้องแจ้งขึ้นทะเบียนลูกจ้างใหม่ภายใน 30 วัน นับแต่วันที่ลูกจ้างเข้าทำงานค่ะ

มีเรื่องอื่น ๆ อยากสอบถามเพิ่มเติมไหมคะ?",False,"Answer content is accurate and even adds useful context about initial and additional employee registration within 30 days. However, retrieval does not include the expected chunk (no overlap), indicating a retrieval mismatch.","[
  ""Expected chunk not retrieved; retrieval mismatched or pulled unrelated content""
]"
3,1,ผมไข้ขึ้นที่ต่างจังหวัด ไปรพ.ที่ลงทะเบียนไว้ไม่ได้ ถ้าผมไปเข้า รพ.เอกชน ในต่างจังหวัด จะเบิกได้ไหม,2,"43,4,3,2,8","คุณสามารถเบิกค่ารักษากับสำนักงานประกันสังคมได้ครับ หากคุณเป็นผู้ประกันตนที่ส่งเงินสมทบครบ 3 เดือน ภายใน 15 เดือนก่อนเดือนที่เจ็บป่วย โดยกรณีการประสบเจ็บป่วยฉุกเฉิน ไม่สามารถเข้ารับบริการ ณ สถานพยาบาลที่กำหนดสิทธิได้ เมื่อเข้ารับการบริการทางการแพทย์ ณ สถานพยาบาลอื่น ซึ่งหากคุณต้องการเข้ารักษาใน รพ.เอกชน สำนักงานประกันสังคมจ่ายค่าบริการทางการแพทย์ให้แก่ผู้ประกันตนหรือสถานพยาบาล ดังนี้
1. ผู้ป่วยนอก
: ให้ได้รับค่าบริการทางการแพทย์ตามจำนวนเท่าที่จ่ายจริงไม่เกิน 1,000 บาท
2. ผู้ป่วยใน
: ให้ได้รับค่าบริการทางการแพทย์เฉพาะค่าใช้จ่ายที่เกิดขึ้นจริงตามความจำเป็น ภายในระยะเวลาไม่เกิน 72 ชั่วโมงแรก โดยไม่รวมวันหยุดราชการ ตามหลักเกณฑ์และจำนวนเงินทดแทนค่าบริการทางการแพทย์กรณีประสบอันตรายหรือเจ็บป่วยฉุกเฉิน ดังนี้
- ค่ารักษาพยาบาลแต่ไม่เกินวันละ 2,000 บาท
- ค่าห้องและค่าอาหาร ตามจำนวนเท่าที่จ่ายจริงไม่เกินวันละ 700 บาท
- ค่าห้อง ค่าอาหาร ค่ารักษาพยาบาล กรณีที่รักษาในห้อง ICU ตามจำนวนเท่าที่จ่ายจริงแต่ไม่เกินวันละ 4,500 บาท
",True,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

กรณีเจ็บป่วยฉุกเฉินวิกฤต สามารถเข้ารับการรักษาที่สถานพยาบาลเอกชนอื่นที่มิใช่สถานพยาบาลที่สำนักงานกำหนดสิทธิได้ค่ะ สำนักงานจะจ่ายค่าบริการทางการแพทย์ให้แก่สถานพยาบาลที่ให้การรักษาจนพ้นวิกฤตไม่เกิน 72 ชั่วโมง โดยผู้ประกันตนไม่ต้องสำรองจ่ายค่ะ

มีเรื่องอื่น ๆ อยากสอบถามเพิ่มเติมไหมคะ?",False,"Retrieval is acceptable (expected chunk included), but the answer content is incomplete and somewhat misleading. It narrows the case to ‘ฉุกเฉินวิกฤต’ and omits key conditions (contribution requirement) and benefit limits (OP/IP caps), and states no upfront payment which is not universally applicable. Therefore the response does not adequately reflect the expected guidance.","[
  ""Answer incomplete, missing key conditions, limits, or required details"",
  ""Factual inaccuracies or misleading statements, including wrong amounts or claims""
]"
3,2,แค่อยากไปให้หมอตรวจแล้วเอายามากินครับ ไม่อยากแอดมิด พรุ่งนี้มีงานต้องไปทำต่อครับ,2,"49,6,2,3,4","กรณีผู้ป่วยนอก และไม่สามารถเข้ารับบริการ ณ สถานพยาบาลที่กำหนดสิทธิได้ คุณมีสิทธิ์ได้รับค่าบริการทางการแพทย์ตามจำนวนเท่าที่จ่ายจริงไม่เกิน 1,000 บาทครับ",True,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

กรณีเจ็บป่วยฉุกเฉินวิกฤต สามารถเข้ารับการรักษาที่สถานพยาบาลเอกชนอื่นที่มิใช่สถานพยาบาลที่สำนักงานกำหนดสิทธิได้ค่ะ สำนักงานจะจ่ายค่าบริการทางการแพทย์ให้แก่สถานพยาบาลที่ให้การรักษาจนพ้นวิกฤตไม่เกิน 72 ชั่วโมง โดยผู้ประกันตนไม่ต้องสำรองจ่ายค่ะ

ไม่ทราบว่าสนใจรายละเอียดตรงไหนเพิ่มเติมไหมคะ?",False,"Retrieval includes the correct chunk (2) but also unrelated ones; acceptable but noisy. The answer focuses on emergency/critical care and 72-hour coverage, not the user’s outpatient scenario, and omits the key 1,000 baht reimbursement detail. Issue is primarily with answer content.","[
  ""Answer incomplete, missing key conditions, limits, or required details"",
  ""Response off-topic or generic, failing to address the specific question"",
  ""Expected chunk not retrieved; retrieval mismatched or pulled unrelated content""
]"
3,3,แล้วในกรณีนี้ผมต้องทำเรื่องเบิกยังไง,2,"43,45,25,1,17",ขออภัยครับ ข้อมูลส่วนนี้ไม่ปรากฎในคู่มือประกันตนที่ผมเข้าถึง ณ ตอนนี้ จึงยืนยันคำตอบให้ไม่ได้ครับ ,False,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

กรณีเจ็บป่วยฉุกเฉินวิกฤตที่เข้ารับการรักษาที่สถานพยาบาลเอกชนอื่นที่มิใช่สถานพยาบาลที่สำนักงานกำหนดสิทธิ สำนักงานจะจ่ายค่าบริการทางการแพทย์ให้แก่สถานพยาบาลที่ให้การรักษาจนพ้นวิกฤตไม่เกิน 72 ชั่วโมง โดยผู้ประกันตนไม่ต้องสำรองจ่ายค่ะ

หากต้องการสอบถามรายละเอียดเพิ่มเติมเกี่ยวกับขั้นตอนการเบิก หรือมีข้อสงสัยอื่นๆ สามารถสอบถามได้เลยนะคะ",False,"Retrieval missed the expected chunk and likely pulled unrelated content. The answer does not address the claim/ reimbursement process and instead discusses emergency payment policy, contradicting the expected response of being unable to confirm; thus both retrieval and content are off.","[
  ""Expected chunk not retrieved; retrieval mismatched or pulled unrelated content"",
  ""Response off-topic or generic, failing to address the specific question"",
  ""Did not follow no-data fallback; provided unsupported or speculative information""
]"
4,1,ผมสามารถโทรถามข้อมูลได้ไหมครับ,47,"50,39,45,14,46",ได้ครับ ขอทราบหน่วยงานสังกัดสำนักงานประกันสังคมหรือจังหวัดที่อยู่ของคุณครับ,False,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

คุณสามารถติดต่อสอบถามข้อมูลเพิ่มเติมได้ที่ สายด่วน 1506 ตลอด 24 ชั่วโมงค่ะ

ไม่ทราบว่าสนใจรายละเอียดตรงไหนเพิ่มเติมไหมคะ?",False,"Answer content is appropriate and helpful (confirms calling and provides the hotline). However, retrieval did not include the expected chunk (no overlap with 47), so retrieval accuracy is inadequate.","[
  ""Expected chunk not retrieved; retrieval mismatched or pulled unrelated content""
]"
4,2,ผมอยู่สงขลาครับ,47,"52,51,1,0,6","หมายเลขโทรศัทพ์หน่วยงานสังกัดสำนักงานประกันสังคมของคุณ มีดังนี้ครับ
- สำนักงานประกันสังคมจังหวัดสงขลา โทร 0 7430 0550
   - สาขาหาดใหญ่ โทร 0 7455 9600-4
   - สาขาสะเดา 0 7424 1317, 0 7424 1319",False,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

สำหรับผู้ที่อยู่จังหวัดสงขลา สามารถติดต่อสอบถามข้อมูลเพิ่มเติม หรือเข้ารับบริการได้ที่ สำนักงานประกันสังคมจังหวัดสงขลา หรือสาขาใกล้บ้านค่ะ

ไม่ทราบว่าสนใจรายละเอียดเกี่ยวกับสิทธิประโยชน์ หรือต้องการทราบข้อมูลส่วนไหนเพิ่มเติมไหมคะ?",False,"Retrieval missed the expected chunk and did not align with the needed Songkhla contact info. The answer is generic and omits the essential phone numbers, failing to provide the key information.","[
  ""Expected chunk not retrieved; retrieval mismatched or pulled unrelated content"",
  ""Answer incomplete, missing key conditions, limits, or required details"",
  ""Response off-topic or generic, failing to address the specific question""
]"
