Session ID,Turn,Question,Expected Chunk ID,Actual Chunk ID,Expected Answer,Found,Actual Answer,Result,Comments
1,1,สอบถามหน่อยครับ ต้นเดือนหน้าผมจะเริ่มว่างงาน ถ้าผมต้องการเงินชดเชยกรณีว่างงานต้องทำยังไงครับ,13,"13,1,17,27,28,44,37,45,36,43,8,40","ได้เลยครับ เบื้องต้นผมของสอบถามข้อมูลเพิ่มเติม ดังนี้
1. คุณเป็นผู้ประกันตนที่ส่งเงินสมทบครบ 6 เดือน ภายใน 15 เดือนก่อนการว่างงานหรือไม่
2. คุณอยู่ในกรณีใด
     - ถูกเลิกจ้าง
     - ลาออกหรือสิ้นสุดสัญญาจ้างที่มีกำหนดระยะเวลาการจ้างไว้แน่นอน
     - ทำงานไม่ได้จากเหตุสุดวิสัย เช่น เหตุเกิดจากภัยธรรมชาติที่ทำให้นายจ้างไม่สามารถประกอบกิจการได้ตามปกติ",True,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

กรณีว่างงาน ผู้ประกันตนต้องส่งเงินสมทบมาแล้ว 6 เดือน ภายใน 15 เดือนก่อนการว่างงานค่ะ

หากถูกเลิกจ้าง จะได้รับเงินทดแทนการขาดรายได้ร้อยละ 50 ของค่าจ้าง ครั้งละไม่เกิน 180 วันค่ะ

หากลาออกหรือสิ้นสุดสัญญาจ้าง จะได้รับเงินทดแทนการขาดรายได้ร้อยละ 30 ของค่าจ้าง ครั้งละไม่เกิน 90 วันค่ะ

ทั้งนี้ ผู้ประกันตนต้องขึ้นทะเบียนผู้ว่างงานและรายงานตัวทางอินเทอร์เน็ตที่เว็บไซต์ www.empui.doe.go.th ภายใน 30 วัน นับแต่วันที่ถูกเลิกจ้างหรือลาออก หรือสิ้นสุดสัญญาจ้าง เพื่อไม่ให้เสียสิทธิในการรับเงินทดแทนการขาดรายได้กรณีว่างงานค่ะ

ไม่ทราบว่าสนใจรายละเอียดตรงไหนเพิ่มเติมไหมคะ?",True,"Retrieval is acceptable as it includes the expected chunk despite extra ones. The answer is accurate and helpful (eligibility, benefit rates/durations, and registration steps), though it omits the force majeure case and the clarifying questions expected."
1,2,"1. ใช่ครับ
2.ลาออกเองครับ",13,"20,15,13,21,1,16,17,4,0,24,37,5","หากคุณเป็นผู้ประกันตนที่ส่งเงินสมทบครบ 6 เดือน ภายใน 15 เดือนก่อนการว่างงาน และอยู่ในกรณีที่ 2 คือลาออก คุณจะได้รับเงินทดแทน โดยมีรายละเอียด ดังนี้
- ได้รับเงินทดแทนการขาดรายได้ในระหว่างการว่างงานร้อยละ 30 ของค่าจ้าง ครั้งละไม่เกิน 90 วัน
- หากใน 1 ปีปฏิทิน มีการยื่นขอรับเงินทดแทนการขาดรายได้
ในระหว่างการว่างงาน ให้นับระยะเวลาการรับเงินทดแทนการขาดรายได้ในระหว่างการว่างงาน รวมกันไม่เกิน 180 วัน
- หากใน 1 ปีปฏิทิน มีการยื่นขอรับเงินทดแทนการขาดรายได้
ในระหว่างการว่างงาน เกิน 1 ครั้ง ให้นับระยะเวลาการรับเงินทดแทนการขาดรายได้ในระหว่างการว่างงาน รวมกันไม่เกิน 90 วัน

โดยผู้ประกันตนต้องขึ้นทะเบียนผู้ว่างงานและรายงานตัว
ทางระบบอินเตอร์เน็ต (เว็บไซต์ www.empui.doe.go.th) ภายใน
30 วัน นับแต่วันที่ถูกเลิกจ้างหรือลาออก หรือสิ้นสุดสัญญาจ้างฯ
เพื่อมิให้เสียสิทธิในการรับเงินทดแทนการขาดรายได้กรณีว่างงาน",True,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

กรณีลาออกเอง ผู้ประกันตนต้องส่งเงินสมทบมาแล้ว 6 เดือน ภายใน 15 เดือนก่อนการว่างงานค่ะ

จะได้รับเงินทดแทนการขาดรายได้ในระหว่างการว่างงาน ร้อยละ 30 ของค่าจ้าง ครั้งละไม่เกิน 90 วันค่ะ

ผู้ประกันตนต้องขึ้นทะเบียนผู้ว่างงานและรายงานตัวทางอินเทอร์เน็ตที่เว็บไซต์ www.empui.doe.go.th ภายใน 30 วัน นับแต่วันที่ลาออก เพื่อไม่ให้เสียสิทธิในการรับเงินทดแทนการขาดรายได้กรณีว่างงานค่ะ

ไม่ทราบว่าสนใจรายละเอียดตรงไหนเพิ่มเติมไหมคะ?",True,"Retrieval is acceptable as it includes the expected chunk. The answer accurately covers eligibility, benefit rate/duration, and registration steps, but omits the calendar-year cumulative day limits—minor omission."
2,1,ถ้าต้องการยื่นขึ้นทะเบียนประกันสังคมต้องใช้เอกสารอะไรบ้าง,1,"17,1,0,24,44,25,21,23,46,20,49,15","หลักฐานประจำตัวผู้ประกันตน มีดังนี้
1. สำหรับผู้ประกันตนที่เป็นคนไทยจะใช้บัตรประจำตัวประชาชนแทนบัตรประกันสังคม
2. ผู้ประกันตนที่เป็นคนต่างด้าวที่ทำงานโดยมีใบอนุญาตทำงานจะได้รับบัตรประกันสังคม เพื่อใช้ติดต่อกับสำนักงานประกันสังคม
3. ผู้ประกันตนที่เป็นคนต่างด้าวที่มีบัตรประจำตัวที่กรมการปกครองออกให้ หรือผู้ประกันตนต่างด้าวที่มีใบสำคัญประจำตัวคนต่างด้าวให้ใช้เอกสารดังกล่าวแทนบัตรประกันสังคม เพื่อใช้ติดต่อกับสำนักงานประกันสังคม",True,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

หากต้องการยื่นขึ้นทะเบียนนายจ้าง จะต้องใช้เอกสารดังนี้ค่ะ

*   แบบขึ้นทะเบียนนายจ้าง (สปส.1-01)
*   สำเนาหนังสือรับรองการจดทะเบียนนิติบุคคล (กรณีเป็นนิติบุคคล)
*   สำเนาบัตรประจำตัวประชาชนของกรรมการผู้จัดการ หรือผู้มีอำนาจลงนามผูกพันบริษัท

หากต้องการยื่นขึ้นทะเบียนผู้ประกันตน (มาตรา 33) จะต้องใช้เอกสารดังนี้ค่ะ

*   แบบขึ้นทะเบียนผู้ประกันตน (สปส.6-03)
*   สำเนาบัตรประจำตัวประชาชน

ไม่ทราบว่าสนใจรายละเอียดในส่วนไหนเพิ่มเติมไหมคะ",True,"Retrieval includes the expected chunk. The answer is generally relevant, listing documents for registration, but it adds employer details and omits the foreign-national ID specifics present in the expected answer. Overall acceptable with minor omissions."
2,2,แล้วต้องไปยื่นขึ้นทะเบียนที่ไหน,1,"23,1,0,49,44,14,19,25,17,24,21,46","- กรณีนายจ้าง ที่มีสำนักงานใหญ่ตั้งอยู่ในเขตกรุงเทพมหานครให้ยื่นแบบได้ที่สำนักงานประกันสังคมกรุงเทพมหานครพื้นที่นที่สถานประกอบการตั้งอยู่
- กรณีนายจ้าง ที่มีสำนักงานใหญ่ในส่วนภูมิภาคให้ยื่นแบบขึ้นทะเบียนได้ที่สำนักงานประกันสังคมจังหวัดที่สถานประกอบการตั้งอยู่

***นายจ้างสามารถทำธุรกรรมผ่านทางอินเตอร์เน็ตได้ที่ www.sso.go.th***",True,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

หากเป็นนายจ้างที่มีสำนักงานใหญ่ตั้งอยู่ในเขตกรุงเทพมหานคร ให้ยื่นแบบขึ้นทะเบียนได้ที่สำนักงานประกันสังคมกรุงเทพมหานครพื้นที่ที่สถานประกอบการตั้งอยู่ค่ะ

ส่วนนายจ้างที่มีสำนักงานใหญ่ในส่วนภูมิภาค ให้ยื่นแบบขึ้นทะเบียนได้ที่สำนักงานประกันสังคมจังหวัดที่สถานประกอบการตั้งอยู่ค่ะ

นอกจากนี้ นายจ้างยังสามารถทำธุรกรรมผ่านทางอินเทอร์เน็ตได้ที่ www.sso.go.th ค่ะ

ไม่ทราบว่าต้องการสอบถามรายละเอียดเพิ่มเติมในส่วนไหนอีกไหมคะ",True,"Answer is accurate and complete (Bangkok vs provincial offices and online option). Retrieval includes the expected chunk, though with many extra IDs; still acceptable."
2,3,ต้องไปยื่นภายในกี่วัน,1,"44,49,21,13,16,17,1,6,46,20,28,7",เมื่อมีการรับลูกจ้างใหม่เพิ่มขึ้นต้องแจ้งขึ้นทะเบียนลูกจ้างใหม่ภายใน 30 วัน นับแต่ลูกจ้างเข้าทำงานครับ,True,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

นายจ้างที่มีลูกจ้างตั้งแต่ 1 คนขึ้นไป จะต้องขึ้นทะเบียนนายจ้างพร้อมกับขึ้นทะเบียนลูกจ้างที่เป็นผู้ประกันตน **ภายใน 30 วัน** นับตั้งแต่มีลูกจ้าง 1 คนขึ้นไปค่ะ

และเมื่อมีการรับลูกจ้างใหม่เพิ่มขึ้น ต้องแจ้งขึ้นทะเบียนลูกจ้างใหม่ **ภายใน 30 วัน** นับแต่ลูกจ้างเข้าทำงานเช่นกันค่ะ

ไม่ทราบว่าต้องการสอบถามรายละเอียดเพิ่มเติมในส่วนไหนอีกไหมคะ",True,Retrieval is acceptable as it includes the expected chunk (1). The answer correctly states the 30-day requirement for registering new employees and adds relevant employer registration info; extra context is fine.
3,1,ผมไข้ขึ้นที่ต่างจังหวัด ไปรพ.ที่ลงทะเบียนไว้ไม่ได้ ถ้าผมไปเข้า รพ.เอกชน ในต่างจังหวัด จะเบิกได้ไหม,2,"43,4,3,2,8,1,6,7,46,22,27,25","คุณสามารถเบิกค่ารักษากับสำนักงานประกันสังคมได้ครับ หากคุณเป็นผู้ประกันตนที่ส่งเงินสมทบครบ 3 เดือน ภายใน 15 เดือนก่อนเดือนที่เจ็บป่วย โดยกรณีการประสบเจ็บป่วยฉุกเฉิน ไม่สามารถเข้ารับบริการ ณ สถานพยาบาลที่กำหนดสิทธิได้ เมื่อเข้ารับการบริการทางการแพทย์ ณ สถานพยาบาลอื่น ซึ่งหากคุณต้องการเข้ารักษาใน รพ.เอกชน สำนักงานประกันสังคมจ่ายค่าบริการทางการแพทย์ให้แก่ผู้ประกันตนหรือสถานพยาบาล ดังนี้
1. ผู้ป่วยนอก
: ให้ได้รับค่าบริการทางการแพทย์ตามจำนวนเท่าที่จ่ายจริงไม่เกิน 1,000 บาท
2. ผู้ป่วยใน
: ให้ได้รับค่าบริการทางการแพทย์เฉพาะค่าใช้จ่ายที่เกิดขึ้นจริงตามความจำเป็น ภายในระยะเวลาไม่เกิน 72 ชั่วโมงแรก โดยไม่รวมวันหยุดราชการ ตามหลักเกณฑ์และจำนวนเงินทดแทนค่าบริการทางการแพทย์กรณีประสบอันตรายหรือเจ็บป่วยฉุกเฉิน ดังนี้
- ค่ารักษาพยาบาลแต่ไม่เกินวันละ 2,000 บาท
- ค่าห้องและค่าอาหาร ตามจำนวนเท่าที่จ่ายจริงไม่เกินวันละ 700 บาท
- ค่าห้อง ค่าอาหาร ค่ารักษาพยาบาล กรณีที่รักษาในห้อง ICU ตามจำนวนเท่าที่จ่ายจริงแต่ไม่เกินวันละ 4,500 บาท
",True,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

กรณีผู้ประกันตนประสบอันตรายหรือเจ็บป่วยฉุกเฉิน และไม่สามารถเข้ารับบริการ ณ สถานพยาบาลที่กำหนดสิทธิได้ หากเข้ารับการบริการทางการแพทย์ ณ สถานพยาบาลเอกชนอื่น สำนักงานประกันสังคมจะจ่ายค่าบริการทางการแพทย์ให้แก่สถานพยาบาลที่ให้การรักษาจนพ้นวิกฤตไม่เกิน 72 ชั่วโมง โดยผู้ประกันตนไม่ต้องสำรองจ่ายค่ะ

ทั้งนี้ จะได้รับค่าบริการทางการแพทย์เฉพาะค่าใช้จ่ายที่เกิดขึ้นจริงตามความจำเป็น ภายในระยะเวลาไม่เกิน 72 ชั่วโมงแรก โดยไม่รวมวันหยุดราชการ ตามหลักเกณฑ์และจำนวนเงินทดแทนค่าบริการทางการแพทย์กรณีประสบอันตรายหรือเจ็บป่วยฉุกเฉิน ดังนี้ค่ะ

*   ค่ารักษาพยาบาลแต่ไม่เกินวันละ 2,000 บาท
*   ค่าห้องและค่าอาหาร ตามจำนวนเท่าที่จ่ายจริงไม่เกินวันละ 700 บาท
*   ค่าห้อง ค่าอาหาร ค่ารักษาพยาบาล กรณีที่รักษาในห้อง ICU ตามจำนวนเท่าที่จ่ายจริงแต่ไม่เกินวันละ 4,500 บาท

ไม่ทราบว่าสนใจรายละเอียดตรงไหนเพิ่มเติมไหมคะ?",True,"Retrieval is acceptable (includes the expected chunk). The answer correctly explains emergency treatment coverage and limits within 72 hours, but omits the OPD reimbursement (up to 1,000 THB) and the contribution eligibility condition; still mostly correct for the core scenario."
3,2,แค่อยากไปให้หมอตรวจแล้วเอายามากินครับ ไม่อยากแอดมิด พรุ่งนี้มีงานต้องไปทำต่อครับ,2,"49,6,2,3,4,1,8,34,15,47,45,17","กรณีผู้ป่วยนอก และไม่สามารถเข้ารับบริการ ณ สถานพยาบาลที่กำหนดสิทธิได้ คุณมีสิทธิ์ได้รับค่าบริการทางการแพทย์ตามจำนวนเท่าที่จ่ายจริงไม่เกิน 1,000 บาทครับ",True,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

กรณีผู้ประกันตนประสบอันตรายหรือเจ็บป่วยฉุกเฉิน และไม่สามารถเข้ารับบริการ ณ สถานพยาบาลที่กำหนดสิทธิได้ หากเข้ารับการบริการทางการแพทย์ ณ สถานพยาบาลเอกชนอื่น สำนักงานประกันสังคมจะจ่ายค่าบริการทางการแพทย์ให้แก่สถานพยาบาลที่ให้การรักษาจนพ้นวิกฤตไม่เกิน 72 ชั่วโมง โดยผู้ประกันตนไม่ต้องสำรองจ่ายค่ะ

ทั้งนี้ จะได้รับค่าบริการทางการแพทย์เฉพาะค่าใช้จ่ายที่เกิดขึ้นจริงตามความจำเป็น ภายในระยะเวลาไม่เกิน 72 ชั่วโมงแรก โดยไม่รวมวันหยุดราชการ ตามหลักเกณฑ์และจำนวนเงินทดแทนค่าบริการทางการแพทย์กรณีประสบอันตรายหรือเจ็บป่วยฉุกเฉิน ดังนี้ค่ะ

*   ค่ารักษาพยาบาลแต่ไม่เกินวันละ 2,000 บาท
*   ค่าห้องและค่าอาหาร ตามจำนวนเท่าที่จ่ายจริงไม่เกินวันละ 700 บาท
*   ค่าห้อง ค่าอาหาร ค่ารักษาพยาบาล กรณีที่รักษาในห้อง ICU ตามจำนวนเท่าที่จ่ายจริงแต่ไม่เกินวันละ 4,500 บาท

ไม่ทราบว่าสนใจรายละเอียดตรงไหนเพิ่มเติมไหมคะ?",False,"Retrieval includes the expected chunk (2) but is noisy with many extras. The answer content is incorrect for the user’s situation—It explains emergency 72-hour benefits instead of the outpatient reimbursement up to 1,000 THB when not using the designated hospital."
3,3,แล้วในกรณีนี้ผมต้องทำเรื่องเบิกยังไง,2,"43,45,25,1,17,7,44,5,46,4,21,18",ขออภัยครับ ข้อมูลส่วนนี้ไม่ปรากฎในคู่มือประกันตนที่ผมเข้าถึง ณ ตอนนี้ จึงยืนยันคำตอบให้ไม่ได้ครับ ,False,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

ในกรณีที่คุณประสบอันตรายหรือเจ็บป่วยฉุกเฉิน และเข้ารับการรักษาที่โรงพยาบาลเอกชนอื่นนอกเหนือจากที่ลงทะเบียนไว้ คุณไม่ต้องสำรองจ่ายค่ารักษาพยาบาลใน 72 ชั่วโมงแรกค่ะ โดยสำนักงานประกันสังคมจะจ่ายค่าบริการทางการแพทย์ให้แก่สถานพยาบาลโดยตรงค่ะ

หากคุณต้องการทราบรายละเอียดเพิ่มเติมเกี่ยวกับการดำเนินการ หรือมีข้อสงสัยอื่นใด สามารถสอบถามเพิ่มเติมได้นะคะ",False,"Retrieval is off—no overlap with the expected chunk (2). The answer does not address the user’s question about how to claim and contradicts the expected response of acknowledging missing information, instead giving unrelated 72-hour policy details."
4,1,ผมสามารถโทรถามข้อมูลได้ไหมครับ,47,"50,39,45,14,46,49,52,21,43,4,2,38",ได้ครับ ขอทราบหน่วยงานสังกัดสำนักงานประกันสังคมหรือจังหวัดที่อยู่ของคุณครับ,False,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

คุณสามารถติดต่อสอบถามข้อมูลเพิ่มเติมได้ที่ สายด่วน 1506 ตลอด 24 ชั่วโมงค่ะ

มีเรื่องอื่น ๆ อยากสอบถามเพิ่มเติมไหมคะ?",True,"Answer is acceptable and addresses the question by providing a hotline number; however, retrieval did not include the expected chunk. Content is mostly correct despite minor stylistic fluff and not asking for province as in the expected reply."
4,2,ผมอยู่สงขลาครับ,47,"52,51,1,0,6,16,25,9,28,23,4,41","หมายเลขโทรศัทพ์หน่วยงานสังกัดสำนักงานประกันสังคมของคุณ มีดังนี้ครับ
- สำนักงานประกันสังคมจังหวัดสงขลา โทร 0 7430 0550
   - สาขาหาดใหญ่ โทร 0 7455 9600-4
   - สาขาสะเดา 0 7424 1317, 0 7424 1319",False,"สวัสดีค่ะ ดิฉันน้องออมสุข จากสำนักงานประกันสังคม ยินดีช่วยตรวจข้อมูล ‘คู่มือผู้ประกันตน’ ค่ะ

หากคุณอยู่ที่จังหวัดสงขลา สามารถติดต่อสอบถามข้อมูลเพิ่มเติมได้ที่ สำนักงานประกันสังคมจังหวัดสงขลา หรือสาขาในพื้นที่ค่ะ

มีเรื่องอื่น ๆ อยากสอบถามเพิ่มเติมไหมคะ?",False,"Retrieval missed the expected chunk (47) entirely. The answer is generic and omits the essential phone numbers for the Songkhla offices, which were expected. Both retrieval and answer content are insufficient."
